symbol,timestamp,open,high,low,close,volume,trade_count,vwap
SPY,2023-11-29 05:00:00+00:00,457.15,458.32,454.2,454.61,63145994.0,455449.0,455.817869
SPY,2023-11-30 05:00:00+00:00,455.48,456.76,453.34,456.4,79752702.0,516019.0,455.14566
SPY,2023-12-01 05:00:00+00:00,455.77,459.65,455.16,459.1,89183402.0,606484.0,457.872157
SPY,2023-12-04 05:00:00+00:00,455.6,459.1206,454.34,456.69,72431488.0,538575.0,456.19094
SPY,2023-12-05 05:00:00+00:00,455.26,457.59,454.87,456.6,69793569.0,483242.0,456.319673
SPY,2023-12-06 05:00:00+00:00,458.81,458.84,454.31,454.76,69124885.0,465901.0,456.130868
SPY,2023-12-07 05:00:00+00:00,456.91,458.9,456.29,458.23,67002346.0,458079.0,457.663703
SPY,2023-12-08 05:00:00+00:00,457.46,460.745,457.21,460.2,83124965.0,524786.0,459.278999
SPY,2023-12-11 05:00:00+00:00,459.69,462.17,459.47,461.99,65803711.0,461247.0,460.936716
SPY,2023-12-12 05:00:00+00:00,461.63,464.2,460.6,464.1,68329617.0,438136.0,462.917041
SPY,2023-12-13 05:00:00+00:00,464.49,470.7599,464.12,470.5,93277960.0,662497.0,467.562717
SPY,2023-12-14 05:00:00+00:00,472.5,473.73,469.25,472.01,119028953.0,713141.0,471.704958
SPY,2023-12-15 05:00:00+00:00,469.49,470.7,467.4263,469.33,141529826.0,667849.0,469.34935
SPY,2023-12-18 05:00:00+00:00,470.98,472.98,469.8929,471.97,70375385.0,459241.0,471.855993
SPY,2023-12-19 05:00:00+00:00,472.53,474.92,472.45,474.84,55762005.0,416105.0,473.975693
SPY,2023-12-20 05:00:00+00:00,473.96,475.895,467.82,468.26,102920959.0,666863.0,471.674917
SPY,2023-12-21 05:00:00+00:00,471.33,472.975,468.84,472.7,86679796.0,600930.0,471.228177
SPY,2023-12-22 05:00:00+00:00,473.86,475.38,471.7,473.65,67131807.0,485465.0,473.800078
SPY,2023-12-26 05:00:00+00:00,474.07,476.58,473.99,475.65,55386952.0,348986.0,475.111253
SPY,2023-12-27 05:00:00+00:00,475.44,476.66,474.89,476.51,68000811.0,425538.0,475.770446
SPY,2023-12-28 05:00:00+00:00,476.88,477.55,476.26,476.69,77158117.0,374241.0,476.774686
SPY,2023-12-29 05:00:00+00:00,476.49,477.03,473.3,475.31,122268009.0,604247.0,475.36401
SPY,2024-01-02 05:00:00+00:00,472.16,473.67,470.49,472.65,123007793.0,657585.0,472.50957
SPY,2024-01-03 05:00:00+00:00,470.43,471.19,468.17,468.79,103595966.0,656572.0,469.89832
SPY,2024-01-04 05:00:00+00:00,468.3,470.96,467.05,467.28,84232169.0,536471.0,468.554179
SPY,2024-01-05 05:00:00+00:00,467.49,470.44,466.43,467.92,86091270.0,561741.0,468.077782
SPY,2024-01-08 05:00:00+00:00,468.43,474.75,468.3,474.6,74879074.0,523806.0,471.967417
SPY,2024-01-09 05:00:00+00:00,471.87,474.93,471.35,473.88,65931439.0,448472.0,473.541806
SPY,2024-01-10 05:00:00+00:00,474.16,477.4481,473.87,476.56,67310640.0,470045.0,475.681998
SPY,2024-01-11 05:00:00+00:00,477.59,478.12,472.26,476.35,77940823.0,576613.0,475.31568
SPY,2024-01-12 05:00:00+00:00,477.84,478.6,475.23,476.68,57998192.0,470201.0,476.587861
SPY,2024-01-16 05:00:00+00:00,475.26,476.6098,473.06,474.93,85015070.0,592233.0,474.916972
SPY,2024-01-17 05:00:00+00:00,471.82,472.79,469.87,472.29,68843871.0,520417.0,471.773122
SPY,2024-01-18 05:00:00+00:00,474.01,477.06,472.42,476.49,91856348.0,558708.0,474.745846
SPY,2024-01-19 05:00:00+00:00,477.65,482.72,476.5374,482.43,110780877.0,607546.0,479.96547
